"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
100.00978644001490636,0.0001664727142739565516,0.0001664727142739565516,63.428211464206611936,0.00148677704830801026,0.00148677704830801026,6.2515766028326904546,0.68650047050880158572,1.9182129535184286873,0,599.92050515991127213,0,0.052835151203842301015,86.536765292286872864,86.540580213069915771,0.0043585526741480862256,0.00099341844770606257953,0,211,211,3
100.01236546659797,0.00056275417586095432491,0.00056275417586095432491,63.429259565045882141,0.0050259775358489919631,0.0050259775358489919631,6.2523281865922930578,0.68411452754868440351,1.9124706930220636281,0,599.91839801737751259,0,0.052645192655041750385,292.57184330374002457,292.57044427841901779,0.0032823520200508937705,0.0022993846567374021106,0,212,212,3
100.01478874972470123,0.00091791352206387804083,0.00091791352206387804083,63.430241803811412638,0.0081980664553783152981,0.0081980664553783152981,6.2530426680703232734,0.87330769820228826283,1.8987451749228794196,0,599.91651943660281177,0,0.067196641713915372662,477.27525137364864349,477.26153597235679626,0.0028848363858742231969,0.0032904768373214210442,0,213,213,3
100.01700235678376316,0.0015042207511070954801,0.0015042207511070954801,63.431147118044080457,0.013435158504172220462,0.013435158504172220462,6.2536720695947618509,1.0375975063530318288,1.8682749344613367448,0,599.91459913277481064,0,0.07982988210822838937,782.21459618955850601,782.19785764813423157,0.0032848088931132224388,0.0059339575934700405924,0,214,214,3
100.0190838682148069,0.0019924510268019141046,0.0019924510268019141046,63.43200618032098248,0.017796598177341305114,0.017796598177341305114,6.2542914718344206904,0.95780763284451064798,1.8073212377680489826,0,599.91286956935437047,0,0.073683771846960066654,1036.211036205291748,1036.1927257999777794,0.0033679302523523801938,0.0083818239521633586264,0,215,215,3
100.02095831521072,0.001966254195973568715,0.001966254195973568715,63.43281384717216298,0.017563401796881171479,0.017563401796881171479,6.2548447788060155261,1.165076949055921407,1.6998118576114618072,0,599.91114252425836639,0,0.089620991793289750404,1022.6842453926801682,1022.673818551003933,0.0047437835346499923617,0.0088527448077115877823,0,216,216,3
100.02261940059091216,0.0012169349669066283591,0.0012169349669066283591,63.433594240950057497,0.010870749175203944098,0.010870749175203944098,6.255387609863088727,1.0772809539167522708,1.5183580104557208301,0,599.9093938083735793,0,0.082860286127770077513,633.00842532515525818,633.01249141991138458,0.0050982345583179267123,0.0063359636867517110659,0,217,217,3
100.02408014115314927,0.00089195420212308056639,0.00089195420212308056639,63.434335928582420649,0.0079677026498424542711,0.0079677026498424542711,6.2559163272110414056,1.0162585637694800944,1.2767378494533634381,0,599.90794202696906723,0,0.078160073555501696774,464.00588463246822357,463.9928862452507019,0.006932996405794256134,0.003530577961385006347,0,218,218,3
100.02549747472480135,0.0026707509183378800796,0.0026707509183378800796,63.435045239550774454,0.02385339169407561799,0.02385339169407561799,6.2563730916325592801,1.1585119150485765349,1.0297371742869008138,0,599.90612421020136935,0,0.089094221595462208541,1389.4670622050762177,1389.1401666030287743,0.18492250313920521876,0.0092642129056912381202,0,219,219,3
100.03441206159303078,0.0069532459814576150908,0.0069532459814576150908,63.435370033490301012,0.062121412610009932309,0.062121412610009932309,6.2565259974123765829,1.1795131975221853082,0.80829357724141592811,0,599.90486891442071737,0,0.090707087727047497339,3617.6839827075600624,3617.7474246844649315,0.47096140549319898128,0.027466905698474874953,0,220,220,3
